Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
83,Friday Jun 27,preview,CHC,@,HOU,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
84,Saturday Jun 28,preview,CHC,@,HOU,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
85,Sunday Jun 29,preview,CHC,@,HOU,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
86,Tuesday Jul 1,preview,CHC,,CLE,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
87,Wednesday Jul 2,preview,CHC,,CLE,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
88,Thursday Jul 3,preview,CHC,,CLE,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
89,Friday Jul 4,preview,CHC,,STL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
90,Saturday Jul 5,preview,CHC,,STL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
91,Sunday Jul 6,preview,CHC,,STL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
92,Tuesday Jul 8,preview,CHC,@,MIN,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
93,Wednesday Jul 9,preview,CHC,@,MIN,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
94,Thursday Jul 10,preview,CHC,@,MIN,1:10 PM,1:10 PM,1:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
95,Friday Jul 11,preview,CHC,@,NYY,7:05 PM,7:05 PM,7:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
96,Saturday Jul 12,preview,CHC,@,NYY,1:05 PM,1:05 PM,1:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
97,Sunday Jul 13,preview,CHC,@,NYY,1:35 PM,1:35 PM,1:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
98,Friday Jul 18,preview,CHC,,BOS,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
99,Saturday Jul 19,preview,CHC,,BOS,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
100,Sunday Jul 20,preview,CHC,,BOS,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
101,Monday Jul 21,preview,CHC,,KCR,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
102,Tuesday Jul 22,preview,CHC,,KCR,8:05 PM,8:05 PM,8:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
103,Wednesday Jul 23,preview,CHC,,KCR,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
104,Friday Jul 25,preview,CHC,@,CHW,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
105,Saturday Jul 26,preview,CHC,@,CHW,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
