Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
85,Tuesday Jul 1,preview,CHW,@,LAD,10:10 PM,10:10 PM,10:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
86,Wednesday Jul 2,preview,CHW,@,LAD,10:10 PM,10:10 PM,10:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
87,Thursday Jul 3,preview,CHW,@,LAD,10:10 PM,10:10 PM,10:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
88,Friday Jul 4,preview,CHW,@,COL,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
89,Saturday Jul 5,preview,CHW,@,COL,9:10 PM,9:10 PM,9:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
90,Sunday Jul 6,preview,CHW,@,COL,3:10 PM,3:10 PM,3:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
91,Monday Jul 7,preview,CHW,,TOR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
92,Tuesday Jul 8,preview,CHW,,TOR,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
93,Wednesday Jul 9,preview,CHW,,TOR,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
94,Thursday Jul 10,preview,CHW,,CLE,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
95,Friday Jul 11,preview,CHW,,CLE,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
96,Saturday Jul 12,preview,CHW,,CLE,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
97,Sunday Jul 13,preview,CHW,,CLE,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
98,Friday Jul 18,preview,CHW,@,PIT,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
99,Saturday Jul 19,preview,CHW,@,PIT,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
100,Sunday Jul 20,preview,CHW,@,PIT,1:35 PM,1:35 PM,1:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
101,Monday Jul 21,preview,CHW,@,TBR,7:35 PM,7:35 PM,7:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
102,Tuesday Jul 22,preview,CHW,@,TBR,7:35 PM,7:35 PM,7:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
103,Wednesday Jul 23,preview,CHW,@,TBR,7:35 PM,7:35 PM,7:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
104,Friday Jul 25,preview,CHW,,CHC,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
105,Saturday Jul 26,preview,CHW,,CHC,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
106,Sunday Jul 27,preview,CHW,,CHC,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
107,Monday Jul 28,preview,CHW,,PHI,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
108,Tuesday Jul 29,preview,CHW,,PHI,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
109,Wednesday Jul 30,preview,CHW,,PHI,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
110,Friday Aug 1,preview,CHW,@,LAA,9:38 PM,9:38 PM,9:38 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
111,Saturday Aug 2,preview,CHW,@,LAA,10:07 PM,10:07 PM,10:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
112,Sunday Aug 3,preview,CHW,@,LAA,4:07 PM,4:07 PM,4:07 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
113,Tuesday Aug 5,preview,CHW,@,SEA,9:40 PM,9:40 PM,9:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
114,Wednesday Aug 6,preview,CHW,@,SEA,9:40 PM,9:40 PM,9:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
115,Thursday Aug 7,preview,CHW,@,SEA,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
